Token: Adadi                | Class: KEYWORD
Token: Marqazi              | Class: KEYWORD
Token: (                    | Class: PUNCT_LPAREN
Token: )                    | Class: PUNCT_RPAREN
Token: {                    | Class: PUNCT_LBRACE
Token: Adadi                | Class: KEYWORD
Token: _num                 | Class: IDENTIFIER
Token: =                    | Class: OP_ASSIGN
Token: 10                   | Class: NUMBER
Token: ::                   | Class: PUNCT_DCOLON
Token: Ashriya              | Class: KEYWORD
Token: num_                 | Class: IDENTIFIER
Token: =                    | Class: OP_ASSIGN
Token: -10.5E+12            | Class: NUMBER
Token: ::                   | Class: PUNCT_DCOLON
Token: Ashriya              | Class: KEYWORD
Token: n_umber              | Class: IDENTIFIER
Token: =                    | Class: OP_ASSIGN
Token: +9.3                 | Class: NUMBER
Token: ::                   | Class: PUNCT_DCOLON
Token: Harf                 | Class: KEYWORD
Token: cou_se               | Class: IDENTIFIER
Token: =                    | Class: OP_ASSIGN
Token: ::                   | Class: PUNCT_DCOLON
Token: Matn                 | Class: KEYWORD
Token: course_              | Class: IDENTIFIER
Token: =                    | Class: OP_ASSIGN
Token: ::                   | Class: PUNCT_DCOLON
Token: Mantiqi              | Class: KEYWORD
Token: _flag                | Class: IDENTIFIER
Token: =                    | Class: OP_ASSIGN
Token: True                 | Class: KEYWORD
Token: ::                   | Class: PUNCT_DCOLON
Token: Agar                 | Class: KEYWORD
Token: (                    | Class: PUNCT_LPAREN
Token: _flag                | Class: IDENTIFIER
Token: )                    | Class: PUNCT_RPAREN
Token: -                    | Class: OP_SUB
Token: ::                   | Class: PUNCT_DCOLON
Token: Wagarna              | Class: KEYWORD
Token: >                    | Class: OP_GT
Token: _num                 | Class: IDENTIFIER
Token: ::                   | Class: PUNCT_DCOLON
Token: Wapas                | Class: KEYWORD
Token: 0                    | Class: NUMBER
Token: ::                   | Class: PUNCT_DCOLON
Token: }                    | Class: PUNCT_RBRACE
